show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7531,Movie,Mutiny on the Bounty,"Lewis Milestone, Carol Reed",United States,2019-11-01,1962,TV-PG,185 min,"Action & Adventure, Classic Movies, Dramas",27,2019.0,11.0,185
s7532,Movie,My Babysitter's a Vampire: The Movie,Bruce McDonald,Canada,2018-10-17,2010,TV-PG,80 min,"Children & Family Movies, Comedies",83,2018.0,10.0,80
s7533,Movie,My Brother ... Nikhil,Onir,India,2018-10-30,2005,TV-PG,116 min,"Dramas, Independent Movies, International Movies",70,2018.0,10.0,116
s7534,Movie,My Daddy is in Heaven,Waymon Boone,United States,2018-06-12,2017,TV-14,95 min,"Dramas, Faith & Spirituality",73,2018.0,6.0,95
s7535,Movie,My Dog is My Guide,Ismail Farouk,Egypt,2019-04-18,2013,TV-14,99 min,"Comedies, International Movies",82,2019.0,4.0,99
s7536,Movie,My Entire High School Sinking Into the Sea,Dash Shaw,United States,2018-01-23,2016,PG-13,77 min,"Comedies, Independent Movies",32,2018.0,1.0,77
s7537,Movie,My Ex-Ex,Nathaniel Warsh,Canada,2017-08-15,2015,TV-MA,91 min,"Comedies, Romantic Movies",26,2017.0,8.0,91
s7544,Movie,My Only Mother,Wenn V. Deramas,Philippines,2019-03-04,2013,TV-14,104 min,"Comedies, Dramas, International Movies",25,2019.0,3.0,104
s7540,Movie,My Life as a Zucchini,Claude Barras,Switzerland,2017-10-01,2016,PG-13,68 min,"Comedies, Dramas, International Movies",82,2017.0,10.0,68
s7542,Movie,My Little Pony Equestria Girls: Friendship Games,"Ishi Rudell, Jayson Thiessen",United States,2015-12-01,2015,TV-Y,72 min,"Children & Family Movies, Comedies",18,2015.0,12.0,72
s7543,Movie,My Little Pony Equestria Girls: Rainbow Rocks,"Jayson Thiessen, Ishi Rudell",United States,2014-12-17,2014,TV-Y,73 min,"Children & Family Movies, Comedies",80,2014.0,12.0,73
s7545,Movie,"My Schoolmate, the Barbarian",Unknown,Unknown,2018-08-16,2001,TV-14,90 min,"Action & Adventure, Comedies, International Movies",10,2018.0,8.0,90
s7546,Movie,My Scientology Movie,John Dower,United Kingdom,2017-07-13,2015,TV-MA,99 min,Documentaries,12,2017.0,7.0,99
s7547,Movie,My Sister's Keeper,Nick Cassavetes,United States,2019-09-01,2009,PG-13,109 min,Dramas,40,2019.0,9.0,109
s7530,TV Show,Mutant Busters,Unknown,Unknown,2017-06-01,2017,TV-PG,2 Seasons,"Kids' TV, TV Comedies",6,2017.0,6.0,2
s7549,Movie,My True Friend,Atsajun Sattakovit,Thailand,2018-07-25,2012,TV-MA,108 min,"Action & Adventure, Dramas, International Movies",37,2018.0,7.0,108
s7550,TV Show,My Week with Marilyn,Simon Curtis,United Kingdom,,2011,R,99 min,"Dramas, Romantic Movies",10,,,99
s7551,Movie,My Wife and My Wifey,Moataz El Tony,Not Given,2019-04-18,2014,TV-14,99 min,"Comedies, International Movies",46,2019.0,4.0,99
s7553,Movie,Mythily Veendum Varunnu,Sabu Varghese,India,,2017,TV-PG,88 min,"Horror Movies, International Movies",51,,,88
